 H    + hν  , → , H⁺    + e⁻            , Photoionization ,
 C₂H₅⁺ + C₂H₂     , → , C₄H₅⁺ + H₂            , 1.22 × 10⁻¹⁰ , R141 in Kim and Fox [1994] 
 C₂H₅⁺ + C₂H₄     , → , C₃H₅⁺ + CH₄           , 3.90 × 10⁻¹⁰ , R142 in Kim and Fox [1994] 
 C₂H₅⁺ + C₂H₆     , → , C₄H₉⁺ + H₂            , 4.00 × 10⁻¹¹ , R143 in Kim and Fox [1994] 
 C₂H₆⁺ + H        , → , C₂H₅⁺ + H₂            , 1.0 × 10⁻¹⁰ , R144 in Kim and Fox [1994] 
 C₂H₆⁺ + C₂H₂     , → , C₂H₅⁺ + C₂H₃          , 2.22 × 10⁻¹⁰ , R145 in Kim and Fox [1994] 
 C₂H₆⁺ + C₂H₂     , → , C₃H₅⁺ + CH₃           , 8.19 × 10⁻¹⁰ , R146 in Kim and Fox [1994] 
 C₂H₆⁺ + C₂H₂     , → , C₄H₇⁺ + H             , 1.29 × 10⁻¹⁰ , R147 in Kim and Fox [1994] 
 C₂H₆⁺ + C₂H₄     , → , C₂H₄⁺ + C₂H₆          , 1.15 × 10⁻⁹ , R148 in Kim and Fox [1994] 
 C₂H₆⁺ + C₂H₆     , → , C₃H₈⁺ + CH₄           , 7.98 × 10⁻¹² , R149 in Kim and Fox [1994] 
 C₂H₆⁺ + C₂H₆     , → , C₃H₉⁺ + CH₃           , 1.10 × 10⁻¹¹ , R150 in Kim and Fox [1994] 
 C₂H₇⁺ + C₂H₂     , → , C₂H₃⁺ + C₂H₆          , 1.0 × 10⁻⁹ , R151 in Kim and Fox [1994] 
 C₂H₇⁺ + C₂H₄     , → , C₂H₅⁺ + C₂H₆          , 1.0 × 10⁻⁹ , R152 in Kim and Fox [1994] 
 H⁺    + H₂ + H₂ , → , H₃⁺   + H₂ , 3.2 × 10⁻²⁹ , R153 in Kim and Fox [1994] 
 CH₃⁺  + H₂ + H₂ , → , CH₅⁺  + H₂ , 3.3 × 10⁻²⁸ , R154 in Kim and Fox [1994] 
 CH₃⁺  + H₂ + He , → , CH₅⁺  + He , 1.1 × 10⁻²⁸ , R155 in Kim and Fox [1994] 
 C₂H₂⁺ + H₂ + He , → , C₂H₄⁺ + He , 1.2 × 10⁻²⁷ , R156 in Kim and Fox [1994] 
 H     + H  + H₂ , → , H₂    + H₂ , 2.7 × 10⁻³¹ × (Tn/1)⁻⁰·⁶ , Perry et al. [1999] 
