 H    + hν  , → , H⁺    + e⁻            , Photoionization ,
 He⁺   + C₂H₆     , → , C₂H₄⁺ + H₂  + He      , 4.20 × 10⁻¹⁰ , R31 in Kim and Fox [1994] 
 He⁺   + C₂H₆     , → , C₂H₃⁺ + H   + H₂ + He , 1.74 × 10⁻⁹ , R32 in Kim and Fox [1994] 
 He⁺   + C₂H₆     , → , C₂H₂⁺ + H₂  + H₂ + He , 8.40 × 10⁻¹⁰ , R33 in Kim and Fox [1994] 
 H⁺    + CH₄      , → , CH₃⁺  + H₂            , 3.69 × 10⁻⁹ , R34 in Kim and Fox [1994] 
 H⁺    + CH₄      , → , CH₄⁺  + H             , 0.81 × 10⁻⁹ , R35 in Kim and Fox [1994] 
 H⁺    + C₂H₆     , → , C₂H₃⁺ + H₂ +  H₂      , 1.30 × 10⁻⁹ , R36 in Kim and Fox [1994] 
 H⁺    + C₂H₆     , → , C₂H₄⁺ + H  +  H₂      , 1.30 × 10⁻⁹ , R37 in Kim and Fox [1994] 
 H⁺    + C₂H₆     , → , C₂H₅⁺ + H₂            , 1.30 × 10⁻⁹ , R38 in Kim and Fox [1994] 
 H⁺    + H₂(ν≥4) , → , H₂⁺   + H             , 2.0 × 10⁻⁹ , Kim and Fox [1994]
 HeH⁺  + H₂       , → , H₃⁺   + He            , 1.50 × 10⁻⁹ , R39 in Kim and Fox [1994] 
 HeH⁺  + H        , → , H₂⁺   + He            , 9.10 × 10⁻¹⁰ , R40 in Kim and Fox [1994] 
 HeH⁺  + C₂H₄     , → , C₂H₄⁺ + H  +  He      , 7.00 × 10⁻¹⁰ , R41 in Kim and Fox [1994] 
 HeH⁺  + C₂H₄     , → , C₂H₃⁺ + H₂ +  He      , 2.10 × 10⁻⁹ , R42 in Kim and Fox [1994] 
 HeH⁺  + C₂H₆     , → , C₂H₃⁺ + H₂ +  H₂ + He , 1.05 × 10⁻⁹ , R43 in Kim and Fox [1994] 
 HeH⁺  + C₂H₆     , → , C₂H₅⁺ + H₂ +  He      , 1.05 × 10⁻⁹ , R44 in Kim and Fox [1994] 
 H₃⁺   + CH₄      , → , CH₅⁺  + H₂            , 2.40 × 10⁻⁹ , R45 in Kim and Fox [1994] 
 H₃⁺   + C₂H₂     , → , C₂H₃⁺ + H₂            , 2.90 × 10⁻⁹ , R46 in Kim and Fox [1994] 
 H₃⁺   + C₂H₄     , → , C₂H₅⁺ + H₂            , 0.69 × 10⁻⁹ , R47 in Kim and Fox [1994] 
 H₃⁺   + C₂H₄     , → , C₂H₃⁺ + H₂  +  H₂     , 1.61 × 10⁻⁹ , R48 in Kim and Fox [1994] 
 H₃⁺   + C₂H₆     , → , C₂H₅⁺ + H₂  +  H₂     , 2.40 × 10⁻⁹ , R49 in Kim and Fox [1994] 
 C⁺    + CH₄      , → , C₂H₂⁺ + H₂            , 3.30 × 10⁻¹⁰ , R50 in Kim and Fox [1994] 
 C⁺    + CH₄      , → , C₂H₃⁺ + H             , 9.80 × 10⁻¹⁰ , R51 in Kim and Fox [1994] 
 C⁺    + C₂H₂     , → , C₃H⁺  + H             , 2.80 × 10⁻⁹ , R52 in Kim and Fox [1994] 
 C⁺    + C₂H₄     , → , C₂H₃⁺ + CH            , 8.50 × 10⁻¹¹ , R53 in Kim and Fox [1994] 
 C⁺    + C₂H₄     , → , C₂H₄⁺ + C             , 1.70 × 10⁻¹⁰ , R54 in Kim and Fox [1994] 
 C⁺    + C₂H₄     , → , C₃H⁺  + H   +  H₂     , 8.50 × 10⁻¹¹ , R55 in Kim and Fox [1994] 
 C⁺    + C₂H₄     , → , C₃H₂⁺ + H₂            , 3.40 × 10⁻¹⁰ , R56 in Kim and Fox [1994] 
 C⁺    + C₂H₄     , → , C₃H₃⁺ + H             , 1.00 × 10⁻⁹ , R57 in Kim and Fox [1994] 
 C⁺    + C₂H₆     , → , C₂H₂⁺ + CH₄           , 1.70 × 10⁻¹⁰ , R58 in Kim and Fox [1994] 
 C⁺    + C₂H₆     , → , C₂H₃⁺ + CH₃           , 5.10 × 10⁻¹⁰ , R59 in Kim and Fox [1994] 
