#
# 16.8 - 59.0 nm
#
#   AUTHOR(YEAR): Hitchcock(1980)
#   T:  298K
#   λ:  16.8-155nm(e,e)
#   BIBLIOGRAPHY: A.P. Hitchcock, C.E. Brion, and M.J. van der Wiel, 
#   "Absolute oscillator-strengths for valence-shell ionic photofragmentation of N2O and CO2 (8-75 eV)", 
#   Chem. Phys. 45, 461-478 (1980); DOI: 10.1016/0301-0104(80)87015-7
#   COMMENTS: Measured by dipole (e,e) spectroscopy; energies E (in eV) and differential oscillator strengths 
#   df/dE (in 10-2 eV-1) converted to wavelengths and absorption cross sections,
#   σ (in 10-18 cm2 molecule-1) = 109.75 df/dE (in eV-1)
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
# 60.0 - 99.9 nm:
#
#   AUTHOR(YEAR): Cook(1968)
#   T:  298K
#   λ:  60.0-99.9nm
#   BIBLIOGRAPHY: G.R. Cook, P.H. Metzger, and M. Ogawa, "Photoionization and absorption coefficients of N2O", 
#   J. Opt. Soc. Am. 58, 129-136 (1968); DOI: 10.1364/JOSA.58.000129
#   COMMENTS: Absorption measurements at a spectral resolution of 0.05 nm using the Hopfield-continuum light source
#   Absorption coefficients k in (atm, 273 K)-1 cm-1 (base e) from Table I converted to absorption cross sections; 
#   conversion factor 3.72×10-20
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
# 108.20 - 122.18 nm:
#
#   AUTHOR(YEAR): Zelikoff(1953)
#   T:  298K
#   λ:  108.2-122.6nm
#   BIBLIOGRAPHY: M. Zelikoff, K. Watanabe, and E.C.Y. Inn, 
#   "Absorption coefficients of gases in the vacuum ultraviolet. Part II. Nitrous oxide", 
#   J. Chem. Phys. 21, 1643-1647 (1953); DOI: 10.1063/1.1698636
#   COMMENTS: Absorption measurements using a vacuum monochromator with a band width of 0.085 nm and a hydrogen 
#   discharge light source
#   Absorption coefficients k (atm, 273 K)-1 cm-1 (base e) plotted in Fig. 1 have been digitized and converted to 
#   absorption cross sections (conversion factor 3.72×10-20)
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
# 122.25 - 172.88 nm:
#
#   AUTHOR(YEAR): Rabalais(1971)
#   T:  298K
#   λ:  122.25-214.65nm
#   BIBLIOGRAPHY: J.W. Rabalais, J.M. McDonald, V. Scherr, and S.P. McGlynn, "Electronic spectroscopy of isoelectronic molecules. II. 
#   Linear triatomic groupings containing sixteen valence electrons", Chem. Rev. 71, 73-108 (1971); DOI: 10.1021/cr60269a004
#   COMMENTS: Absorption spectra were recorded on Cary 14 and 15 and McPherson 225 (1-m) spectrophotomers, absorption pathlengths 
#   ranged from 0.1 to 10 cm
#   Extinction coefficients vs. wavenumber as plotted in Fig. 9 have been digitized and converted to absorption cross sections 
#   (conversion factor 3.8235×10-21) vs. wavelength
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
# 173 - 210 nm:
#
#  FORMULA:	N2O
#  AUTHOR(YEAR):	Selwyn(1977)
#  T:	194K, 225K, 243K, 263K, 302K
#  λ:	173-210nm
#  BIBLIOGRAPHY:	G. Selwyn, J. Podolske, and H.S. Johnston, 
#  "Nitrous oxide ultraviolet absorption spectrum at stratospheric temperatures", 
#  Geophys. Res. Lett. 4, 427-430 (1977); DOI: 10.1029/GL004i010p00427
#  COMMENTS:	Data points were taken every 0.2 nm over the wavelength range studied with a resolution of 0.7 nm
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#  
#  nm     194 K      225 K      243 K      263 K      302 K
125.24  2.76e-17   2.76e-17   2.76e-17   2.76e-17   2.76e-17
125.38  2.96e-17   2.96e-17   2.96e-17   2.96e-17   2.96e-17
125.50  3.17e-17   3.17e-17   3.17e-17   3.17e-17   3.17e-17
125.63  3.37e-17   3.37e-17   3.37e-17   3.37e-17   3.37e-17
125.73  3.58e-17   3.58e-17   3.58e-17   3.58e-17   3.58e-17
125.89  3.91e-17   3.91e-17   3.91e-17   3.91e-17   3.91e-17
125.99  4.12e-17   4.12e-17   4.12e-17   4.12e-17   4.12e-17
126.08  4.34e-17   4.34e-17   4.34e-17   4.34e-17   4.34e-17
126.18  4.53e-17   4.53e-17   4.53e-17   4.53e-17   4.53e-17
126.27  4.74e-17   4.74e-17   4.74e-17   4.74e-17   4.74e-17
126.37  4.92e-17   4.92e-17   4.92e-17   4.92e-17   4.92e-17
126.44  5.09e-17   5.09e-17   5.09e-17   5.09e-17   5.09e-17
126.53  5.30e-17   5.30e-17   5.30e-17   5.30e-17   5.30e-17
126.63  5.52e-17   5.52e-17   5.52e-17   5.52e-17   5.52e-17
126.73  5.73e-17   5.73e-17   5.73e-17   5.73e-17   5.73e-17
126.84  5.94e-17   5.94e-17   5.94e-17   5.94e-17   5.94e-17
126.93  6.12e-17   6.12e-17   6.12e-17   6.12e-17   6.12e-17
127.01  6.30e-17   6.30e-17   6.30e-17   6.30e-17   6.30e-17
127.12  6.52e-17   6.52e-17   6.52e-17   6.52e-17   6.52e-17
127.23  6.73e-17   6.73e-17   6.73e-17   6.73e-17   6.73e-17
127.27  6.85e-17   6.85e-17   6.85e-17   6.85e-17   6.85e-17
127.41  7.09e-17   7.09e-17   7.09e-17   7.09e-17   7.09e-17
127.53  7.31e-17   7.31e-17   7.31e-17   7.31e-17   7.31e-17
127.63  7.53e-17   7.53e-17   7.53e-17   7.53e-17   7.53e-17
127.77  7.73e-17   7.73e-17   7.73e-17   7.73e-17   7.73e-17
127.91  7.93e-17   7.93e-17   7.93e-17   7.93e-17   7.93e-17
128.06  8.19e-17   8.19e-17   8.19e-17   8.19e-17   8.19e-17
128.21  8.38e-17   8.38e-17   8.38e-17   8.38e-17   8.38e-17
128.40  8.56e-17   8.56e-17   8.56e-17   8.56e-17   8.56e-17
128.67  8.53e-17   8.53e-17   8.53e-17   8.53e-17   8.53e-17
128.85  8.35e-17   8.35e-17   8.35e-17   8.35e-17   8.35e-17
129.03  8.17e-17   8.17e-17   8.17e-17   8.17e-17   8.17e-17
129.19  7.98e-17   7.98e-17   7.98e-17   7.98e-17   7.98e-17
129.29  7.84e-17   7.84e-17   7.84e-17   7.84e-17   7.84e-17
129.44  7.64e-17   7.64e-17   7.64e-17   7.64e-17   7.64e-17
129.57  7.44e-17   7.44e-17   7.44e-17   7.44e-17   7.44e-17
129.71  7.24e-17   7.24e-17   7.24e-17   7.24e-17   7.24e-17
129.87  7.03e-17   7.03e-17   7.03e-17   7.03e-17   7.03e-17
130.01  6.80e-17   6.80e-17   6.80e-17   6.80e-17   6.80e-17
130.15  6.60e-17   6.60e-17   6.60e-17   6.60e-17   6.60e-17
130.31  6.33e-17   6.33e-17   6.33e-17   6.33e-17   6.33e-17
130.45  6.12e-17   6.12e-17   6.12e-17   6.12e-17   6.12e-17
130.59  5.92e-17   5.92e-17   5.92e-17   5.92e-17   5.92e-17
130.72  5.72e-17   5.72e-17   5.72e-17   5.72e-17   5.72e-17
130.89  5.46e-17   5.46e-17   5.46e-17   5.46e-17   5.46e-17
131.02  5.25e-17   5.25e-17   5.25e-17   5.25e-17   5.25e-17
131.16  5.05e-17   5.05e-17   5.05e-17   5.05e-17   5.05e-17
131.28  4.86e-17   4.86e-17   4.86e-17   4.86e-17   4.86e-17
131.42  4.66e-17   4.66e-17   4.66e-17   4.66e-17   4.66e-17
131.54  4.45e-17   4.45e-17   4.45e-17   4.45e-17   4.45e-17
131.69  4.24e-17   4.24e-17   4.24e-17   4.24e-17   4.24e-17
131.72  4.14e-17   4.14e-17   4.14e-17   4.14e-17   4.14e-17
131.87  3.95e-17   3.95e-17   3.95e-17   3.95e-17   3.95e-17
132.00  3.78e-17   3.78e-17   3.78e-17   3.78e-17   3.78e-17
132.12  3.59e-17   3.59e-17   3.59e-17   3.59e-17   3.59e-17
132.28  3.35e-17   3.35e-17   3.35e-17   3.35e-17   3.35e-17
132.44  3.14e-17   3.14e-17   3.14e-17   3.14e-17   3.14e-17
132.58  2.94e-17   2.94e-17   2.94e-17   2.94e-17   2.94e-17
132.74  2.74e-17   2.74e-17   2.74e-17   2.74e-17   2.74e-17
132.91  2.52e-17   2.52e-17   2.52e-17   2.52e-17   2.52e-17
133.06  2.33e-17   2.33e-17   2.33e-17   2.33e-17   2.33e-17
133.23  2.14e-17   2.14e-17   2.14e-17   2.14e-17   2.14e-17
133.41  1.96e-17   1.96e-17   1.96e-17   1.96e-17   1.96e-17
133.66  1.69e-17   1.69e-17   1.69e-17   1.69e-17   1.69e-17
133.82  1.51e-17   1.51e-17   1.51e-17   1.51e-17   1.51e-17
134.00  1.33e-17   1.33e-17   1.33e-17   1.33e-17   1.33e-17
134.19  1.15e-17   1.15e-17   1.15e-17   1.15e-17   1.15e-17
134.40  9.82e-18   9.82e-18   9.82e-18   9.82e-18   9.82e-18
134.62  8.07e-18   8.07e-18   8.07e-18   8.07e-18   8.07e-18
134.71  7.04e-18   7.04e-18   7.04e-18   7.04e-18   7.04e-18
134.83  6.04e-18   6.04e-18   6.04e-18   6.04e-18   6.04e-18
134.97  5.04e-18   5.04e-18   5.04e-18   5.04e-18   5.04e-18
135.13  4.33e-18   4.33e-18   4.33e-18   4.33e-18   4.33e-18
135.24  3.89e-18   3.89e-18   3.89e-18   3.89e-18   3.89e-18
135.36  3.46e-18   3.46e-18   3.46e-18   3.46e-18   3.46e-18
135.50  3.02e-18   3.02e-18   3.02e-18   3.02e-18   3.02e-18
135.66  2.67e-18   2.67e-18   2.67e-18   2.67e-18   2.67e-18
135.85  2.32e-18   2.32e-18   2.32e-18   2.32e-18   2.32e-18
136.03  2.03e-18   2.03e-18   2.03e-18   2.03e-18   2.03e-18
136.29  1.71e-18   1.71e-18   1.71e-18   1.71e-18   1.71e-18
136.55  1.44e-18   1.44e-18   1.44e-18   1.44e-18   1.44e-18
136.82  1.23e-18   1.23e-18   1.23e-18   1.23e-18   1.23e-18
137.05  1.07e-18   1.07e-18   1.07e-18   1.07e-18   1.07e-18
137.32  9.33e-19   9.33e-19   9.33e-19   9.33e-19   9.33e-19
137.59  8.06e-19   8.06e-19   8.06e-19   8.06e-19   8.06e-19
137.88  7.34e-19   7.34e-19   7.34e-19   7.34e-19   7.34e-19
138.22  6.81e-19   6.81e-19   6.81e-19   6.81e-19   6.81e-19
138.26  6.72e-19   6.72e-19   6.72e-19   6.72e-19   6.72e-19
138.60  6.83e-19   6.83e-19   6.83e-19   6.83e-19   6.83e-19
138.93  7.12e-19   7.12e-19   7.12e-19   7.12e-19   7.12e-19
139.23  7.68e-19   7.68e-19   7.68e-19   7.68e-19   7.68e-19
139.54  8.62e-19   8.62e-19   8.62e-19   8.62e-19   8.62e-19
139.85  9.55e-19   9.55e-19   9.55e-19   9.55e-19   9.55e-19
140.16  1.07e-18   1.07e-18   1.07e-18   1.07e-18   1.07e-18
140.45  1.18e-18   1.18e-18   1.18e-18   1.18e-18   1.18e-18
140.58  1.23e-18   1.23e-18   1.23e-18   1.23e-18   1.23e-18
140.82  1.33e-18   1.33e-18   1.33e-18   1.33e-18   1.33e-18
141.11  1.46e-18   1.46e-18   1.46e-18   1.46e-18   1.46e-18
141.39  1.60e-18   1.60e-18   1.60e-18   1.60e-18   1.60e-18
141.60  1.78e-18   1.78e-18   1.78e-18   1.78e-18   1.78e-18
141.80  1.98e-18   1.98e-18   1.98e-18   1.98e-18   1.98e-18
141.94  2.18e-18   2.18e-18   2.18e-18   2.18e-18   2.18e-18
142.00  2.33e-18   2.33e-18   2.33e-18   2.33e-18   2.33e-18
142.12  2.49e-18   2.49e-18   2.49e-18   2.49e-18   2.49e-18
142.27  2.69e-18   2.69e-18   2.69e-18   2.69e-18   2.69e-18
142.53  2.85e-18   2.85e-18   2.85e-18   2.85e-18   2.85e-18
142.59  2.97e-18   2.97e-18   2.97e-18   2.97e-18   2.97e-18
142.67  3.16e-18   3.16e-18   3.16e-18   3.16e-18   3.16e-18
142.70  3.54e-18   3.54e-18   3.54e-18   3.54e-18   3.54e-18
142.74  3.94e-18   3.94e-18   3.94e-18   3.94e-18   3.94e-18
142.89  3.84e-18   3.84e-18   3.84e-18   3.84e-18   3.84e-18
142.97  3.44e-18   3.44e-18   3.44e-18   3.44e-18   3.44e-18
143.09  3.13e-18   3.13e-18   3.13e-18   3.13e-18   3.13e-18
143.30  3.14e-18   3.14e-18   3.14e-18   3.14e-18   3.14e-18
143.41  3.71e-18   3.71e-18   3.71e-18   3.71e-18   3.71e-18
143.45  4.32e-18   4.32e-18   4.32e-18   4.32e-18   4.32e-18
143.55  4.51e-18   4.51e-18   4.51e-18   4.51e-18   4.51e-18
143.64  5.17e-18   5.17e-18   5.17e-18   5.17e-18   5.17e-18
143.76  4.87e-18   4.87e-18   4.87e-18   4.87e-18   4.87e-18
143.84  4.53e-18   4.53e-18   4.53e-18   4.53e-18   4.53e-18
143.96  4.04e-18   4.04e-18   4.04e-18   4.04e-18   4.04e-18
144.13  3.80e-18   3.80e-18   3.80e-18   3.80e-18   3.80e-18
144.33  3.70e-18   3.70e-18   3.70e-18   3.70e-18   3.70e-18
144.41  4.26e-18   4.26e-18   4.26e-18   4.26e-18   4.26e-18
144.45  5.05e-18   5.05e-18   5.05e-18   5.05e-18   5.05e-18
144.50  5.71e-18   5.71e-18   5.71e-18   5.71e-18   5.71e-18
144.56  6.59e-18   6.59e-18   6.59e-18   6.59e-18   6.59e-18
144.62  7.28e-18   7.28e-18   7.28e-18   7.28e-18   7.28e-18
144.72  6.40e-18   6.40e-18   6.40e-18   6.40e-18   6.40e-18
144.76  5.90e-18   5.90e-18   5.90e-18   5.90e-18   5.90e-18
144.90  5.53e-18   5.53e-18   5.53e-18   5.53e-18   5.53e-18
144.92  5.36e-18   5.36e-18   5.36e-18   5.36e-18   5.36e-18
145.01  4.19e-18   4.19e-18   4.19e-18   4.19e-18   4.19e-18
145.22  3.85e-18   3.85e-18   3.85e-18   3.85e-18   3.85e-18
145.34  4.39e-18   4.39e-18   4.39e-18   4.39e-18   4.39e-18
145.37  5.21e-18   5.21e-18   5.21e-18   5.21e-18   5.21e-18
145.40  6.01e-18   6.01e-18   6.01e-18   6.01e-18   6.01e-18
145.45  6.55e-18   6.55e-18   6.55e-18   6.55e-18   6.55e-18
145.50  7.31e-18   7.31e-18   7.31e-18   7.31e-18   7.31e-18
145.61  7.47e-18   7.47e-18   7.47e-18   7.47e-18   7.47e-18
145.62  7.92e-18   7.92e-18   7.92e-18   7.92e-18   7.92e-18
145.72  8.90e-18   8.90e-18   8.90e-18   8.90e-18   8.90e-18
145.81  7.48e-18   7.48e-18   7.48e-18   7.48e-18   7.48e-18
145.83  6.73e-18   6.73e-18   6.73e-18   6.73e-18   6.73e-18
145.96  6.74e-18   6.74e-18   6.74e-18   6.74e-18   6.74e-18
145.99  6.23e-18   6.23e-18   6.23e-18   6.23e-18   6.23e-18
146.03  5.51e-18   5.51e-18   5.51e-18   5.51e-18   5.51e-18
146.07  4.70e-18   4.70e-18   4.70e-18   4.70e-18   4.70e-18
146.11  4.12e-18   4.12e-18   4.12e-18   4.12e-18   4.12e-18
146.27  3.84e-18   3.84e-18   3.84e-18   3.84e-18   3.84e-18
146.46  4.10e-18   4.10e-18   4.10e-18   4.10e-18   4.10e-18
146.48  5.11e-18   5.11e-18   5.11e-18   5.11e-18   5.11e-18
146.53  5.99e-18   5.99e-18   5.99e-18   5.99e-18   5.99e-18
146.57  6.71e-18   6.71e-18   6.71e-18   6.71e-18   6.71e-18
146.65  6.82e-18   6.82e-18   6.82e-18   6.82e-18   6.82e-18
146.70  7.58e-18   7.58e-18   7.58e-18   7.58e-18   7.58e-18
146.73  6.94e-18   6.94e-18   6.94e-18   6.94e-18   6.94e-18
146.88  6.14e-18   6.14e-18   6.14e-18   6.14e-18   6.14e-18
146.96  5.33e-18   5.33e-18   5.33e-18   5.33e-18   5.33e-18
146.99  4.39e-18   4.39e-18   4.39e-18   4.39e-18   4.39e-18
147.10  3.48e-18   3.48e-18   3.48e-18   3.48e-18   3.48e-18
147.29  3.21e-18   3.21e-18   3.21e-18   3.21e-18   3.21e-18
147.46  3.61e-18   3.61e-18   3.61e-18   3.61e-18   3.61e-18
147.60  3.80e-18   3.80e-18   3.80e-18   3.80e-18   3.80e-18
147.65  4.24e-18   4.24e-18   4.24e-18   4.24e-18   4.24e-18
147.79  4.92e-18   4.92e-18   4.92e-18   4.92e-18   4.92e-18
147.91  4.57e-18   4.57e-18   4.57e-18   4.57e-18   4.57e-18
148.01  4.18e-18   4.18e-18   4.18e-18   4.18e-18   4.18e-18
148.12  4.09e-18   4.09e-18   4.09e-18   4.09e-18   4.09e-18
148.20  3.52e-18   3.52e-18   3.52e-18   3.52e-18   3.52e-18
148.36  2.77e-18   2.77e-18   2.77e-18   2.77e-18   2.77e-18
148.56  2.35e-18   2.35e-18   2.35e-18   2.35e-18   2.35e-18
148.69  2.64e-18   2.64e-18   2.64e-18   2.64e-18   2.64e-18
148.81  2.76e-18   2.76e-18   2.76e-18   2.76e-18   2.76e-18
148.86  2.95e-18   2.95e-18   2.95e-18   2.95e-18   2.95e-18
148.97  3.22e-18   3.22e-18   3.22e-18   3.22e-18   3.22e-18
149.07  2.88e-18   2.88e-18   2.88e-18   2.88e-18   2.88e-18
149.15  2.51e-18   2.51e-18   2.51e-18   2.51e-18   2.51e-18
149.30  2.05e-18   2.05e-18   2.05e-18   2.05e-18   2.05e-18
149.40  1.74e-18   1.74e-18   1.74e-18   1.74e-18   1.74e-18
149.52  1.77e-18   1.77e-18   1.77e-18   1.77e-18   1.77e-18
149.72  1.45e-18   1.45e-18   1.45e-18   1.45e-18   1.45e-18
150.05  1.00e-18   1.00e-18   1.00e-18   1.00e-18   1.00e-18
150.18  1.31e-18   1.31e-18   1.31e-18   1.31e-18   1.31e-18
150.30  1.41e-18   1.41e-18   1.41e-18   1.41e-18   1.41e-18
150.40  1.85e-18   1.85e-18   1.85e-18   1.85e-18   1.85e-18
150.57  1.47e-18   1.47e-18   1.47e-18   1.47e-18   1.47e-18
150.79  1.13e-18   1.13e-18   1.13e-18   1.13e-18   1.13e-18
150.86  9.80e-19   9.80e-19   9.80e-19   9.80e-19   9.80e-19
150.97  9.45e-19   9.45e-19   9.45e-19   9.45e-19   9.45e-19
151.04  8.99e-19   8.99e-19   8.99e-19   8.99e-19   8.99e-19
151.10  8.57e-19   8.57e-19   8.57e-19   8.57e-19   8.57e-19
151.22  8.20e-19   8.20e-19   8.20e-19   8.20e-19   8.20e-19
151.37  7.84e-19   7.84e-19   7.84e-19   7.84e-19   7.84e-19
151.42  8.32e-19   8.32e-19   8.32e-19   8.32e-19   8.32e-19
151.58  8.62e-19   8.62e-19   8.62e-19   8.62e-19   8.62e-19
151.71  8.34e-19   8.34e-19   8.34e-19   8.34e-19   8.34e-19
151.84  8.98e-19   8.98e-19   8.98e-19   8.98e-19   8.98e-19
151.93  9.70e-19   9.70e-19   9.70e-19   9.70e-19   9.70e-19
152.01  9.10e-19   9.10e-19   9.10e-19   9.10e-19   9.10e-19
152.04  8.47e-19   8.47e-19   8.47e-19   8.47e-19   8.47e-19
152.08  7.86e-19   7.86e-19   7.86e-19   7.86e-19   7.86e-19
152.22  7.58e-19   7.58e-19   7.58e-19   7.58e-19   7.58e-19
152.26  7.77e-19   7.77e-19   7.77e-19   7.77e-19   7.77e-19
152.26  6.62e-19   6.62e-19   6.62e-19   6.62e-19   6.62e-19
152.33  5.94e-19   5.94e-19   5.94e-19   5.94e-19   5.94e-19
152.39  5.21e-19   5.21e-19   5.21e-19   5.21e-19   5.21e-19
152.46  4.72e-19   4.72e-19   4.72e-19   4.72e-19   4.72e-19
152.52  4.28e-19   4.28e-19   4.28e-19   4.28e-19   4.28e-19
152.69  3.90e-19   3.90e-19   3.90e-19   3.90e-19   3.90e-19
152.82  4.25e-19   4.25e-19   4.25e-19   4.25e-19   4.25e-19
152.90  4.20e-19   4.20e-19   4.20e-19   4.20e-19   4.20e-19
152.94  4.57e-19   4.57e-19   4.57e-19   4.57e-19   4.57e-19
152.96  4.74e-19   4.74e-19   4.74e-19   4.74e-19   4.74e-19
153.10  5.07e-19   5.07e-19   5.07e-19   5.07e-19   5.07e-19
153.22  4.67e-19   4.67e-19   4.67e-19   4.67e-19   4.67e-19
153.30  4.25e-19   4.25e-19   4.25e-19   4.25e-19   4.25e-19
153.44  4.02e-19   4.02e-19   4.02e-19   4.02e-19   4.02e-19
153.54  3.61e-19   3.61e-19   3.61e-19   3.61e-19   3.61e-19
153.65  3.33e-19   3.33e-19   3.33e-19   3.33e-19   3.33e-19
153.80  2.90e-19   2.90e-19   2.90e-19   2.90e-19   2.90e-19
153.92  2.55e-19   2.55e-19   2.55e-19   2.55e-19   2.55e-19
154.01  2.28e-19   2.28e-19   2.28e-19   2.28e-19   2.28e-19
154.20  2.06e-19   2.06e-19   2.06e-19   2.06e-19   2.06e-19
154.38  2.21e-19   2.21e-19   2.21e-19   2.21e-19   2.21e-19
154.41  2.27e-19   2.27e-19   2.27e-19   2.27e-19   2.27e-19
154.54  2.33e-19   2.33e-19   2.33e-19   2.33e-19   2.33e-19
154.54  2.33e-19   2.33e-19   2.33e-19   2.33e-19   2.33e-19
154.57  2.84e-19   2.84e-19   2.84e-19   2.84e-19   2.84e-19
154.74  3.00e-19   3.00e-19   3.00e-19   3.00e-19   3.00e-19
154.82  2.57e-19   2.57e-19   2.57e-19   2.57e-19   2.57e-19
154.93  2.37e-19   2.37e-19   2.37e-19   2.37e-19   2.37e-19
155.01  2.04e-19   2.04e-19   2.04e-19   2.04e-19   2.04e-19
155.28  1.60e-19   1.60e-19   1.60e-19   1.60e-19   1.60e-19
155.31  1.44e-19   1.44e-19   1.44e-19   1.44e-19   1.44e-19
155.40  1.31e-19   1.31e-19   1.31e-19   1.31e-19   1.31e-19
155.52  1.14e-19   1.14e-19   1.14e-19   1.14e-19   1.14e-19
155.65  1.06e-19   1.06e-19   1.06e-19   1.06e-19   1.06e-19
155.79  9.63e-20   9.63e-20   9.63e-20   9.63e-20   9.63e-20
156.03  8.64e-20   8.64e-20   8.64e-20   8.64e-20   8.64e-20
156.14  9.19e-20   9.19e-20   9.19e-20   9.19e-20   9.19e-20
156.17  1.03e-19   1.03e-19   1.03e-19   1.03e-19   1.03e-19
156.20  1.21e-19   1.21e-19   1.21e-19   1.21e-19   1.21e-19
156.25  1.37e-19   1.37e-19   1.37e-19   1.37e-19   1.37e-19
156.40  1.51e-19   1.51e-19   1.51e-19   1.51e-19   1.51e-19
156.57  1.42e-19   1.42e-19   1.42e-19   1.42e-19   1.42e-19
156.61  1.29e-19   1.29e-19   1.29e-19   1.29e-19   1.29e-19
156.67  1.13e-19   1.13e-19   1.13e-19   1.13e-19   1.13e-19
156.75  9.87e-20   9.87e-20   9.87e-20   9.87e-20   9.87e-20
156.91  8.51e-20   8.51e-20   8.51e-20   8.51e-20   8.51e-20
157.02  7.50e-20   7.50e-20   7.50e-20   7.50e-20   7.50e-20
157.12  6.94e-20   6.94e-20   6.94e-20   6.94e-20   6.94e-20
157.22  6.48e-20   6.48e-20   6.48e-20   6.48e-20   6.48e-20
157.29  6.06e-20   6.06e-20   6.06e-20   6.06e-20   6.06e-20
157.43  5.56e-20   5.56e-20   5.56e-20   5.56e-20   5.56e-20
157.60  5.20e-20   5.20e-20   5.20e-20   5.20e-20   5.20e-20
157.98  5.16e-20   5.16e-20   5.16e-20   5.16e-20   5.16e-20
158.11  5.66e-20   5.66e-20   5.66e-20   5.66e-20   5.66e-20
158.20  6.47e-20   6.47e-20   6.47e-20   6.47e-20   6.47e-20
158.30  7.18e-20   7.18e-20   7.18e-20   7.18e-20   7.18e-20
158.51  6.26e-20   6.26e-20   6.26e-20   6.26e-20   6.26e-20
158.63  5.51e-20   5.51e-20   5.51e-20   5.51e-20   5.51e-20
158.76  4.94e-20   4.94e-20   4.94e-20   4.94e-20   4.94e-20
158.94  4.41e-20   4.41e-20   4.41e-20   4.41e-20   4.41e-20
159.15  3.99e-20   3.99e-20   3.99e-20   3.99e-20   3.99e-20
159.52  3.70e-20   3.70e-20   3.70e-20   3.70e-20   3.70e-20
159.93  3.63e-20   3.63e-20   3.63e-20   3.63e-20   3.63e-20
160.04  4.14e-20   4.14e-20   4.14e-20   4.14e-20   4.14e-20
160.12  4.68e-20   4.68e-20   4.68e-20   4.68e-20   4.68e-20
160.22  4.89e-20   4.89e-20   4.89e-20   4.89e-20   4.89e-20
160.39  4.70e-20   4.70e-20   4.70e-20   4.70e-20   4.70e-20
160.49  4.43e-20   4.43e-20   4.43e-20   4.43e-20   4.43e-20
160.65  4.11e-20   4.11e-20   4.11e-20   4.11e-20   4.11e-20
161.05  3.88e-20   3.88e-20   3.88e-20   3.88e-20   3.88e-20
161.48  3.90e-20   3.90e-20   3.90e-20   3.90e-20   3.90e-20
161.90  4.12e-20   4.12e-20   4.12e-20   4.12e-20   4.12e-20
162.24  4.43e-20   4.43e-20   4.43e-20   4.43e-20   4.43e-20
162.62  4.70e-20   4.70e-20   4.70e-20   4.70e-20   4.70e-20
163.04  4.83e-20   4.83e-20   4.83e-20   4.83e-20   4.83e-20
163.49  5.01e-20   5.01e-20   5.01e-20   5.01e-20   5.01e-20
163.92  5.20e-20   5.20e-20   5.20e-20   5.20e-20   5.20e-20
164.35  5.40e-20   5.40e-20   5.40e-20   5.40e-20   5.40e-20
164.80  5.61e-20   5.61e-20   5.61e-20   5.61e-20   5.61e-20
165.26  5.83e-20   5.83e-20   5.83e-20   5.83e-20   5.83e-20
165.70  6.06e-20   6.06e-20   6.06e-20   6.06e-20   6.06e-20
166.11  6.31e-20   6.31e-20   6.31e-20   6.31e-20   6.31e-20
166.56  6.56e-20   6.56e-20   6.56e-20   6.56e-20   6.56e-20
166.96  6.81e-20   6.81e-20   6.81e-20   6.81e-20   6.81e-20
167.40  7.06e-20   7.06e-20   7.06e-20   7.06e-20   7.06e-20
167.83  7.32e-20   7.32e-20   7.32e-20   7.32e-20   7.32e-20
168.24  7.59e-20   7.59e-20   7.59e-20   7.59e-20   7.59e-20
168.67  7.84e-20   7.84e-20   7.84e-20   7.84e-20   7.84e-20
169.08  8.13e-20   8.13e-20   8.13e-20   8.13e-20   8.13e-20
169.49  8.40e-20   8.40e-20   8.40e-20   8.40e-20   8.40e-20
169.91  8.67e-20   8.67e-20   8.67e-20   8.67e-20   8.67e-20
170.33  8.94e-20   8.94e-20   8.94e-20   8.94e-20   8.94e-20
170.75  9.21e-20   9.21e-20   9.21e-20   9.21e-20   9.21e-20
171.15  9.48e-20   9.48e-20   9.48e-20   9.48e-20   9.48e-20
