# 0          References for Cross Section of NO        Total   
# Cross section:                                                                  
# Lambda = 1.-180. A                                                              
#    Cross section synthesized from the atomic cross section of N and O           
# Lambda = 180.-580. A                                                            
#    Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
#    J. Quant. Spectr. Rad. Trans. 13, 1023                                       
# Lambda = 580.-1350. A                                                           
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
# Lambda = 1350.-1910. A                                                          
#    Marmo, F. F. (1953)                                                          
#    J. Opt. Soc. Am. 43, 1186                                                    
#                                                                                 
# 0          References for Cross Section of NO        NO+     
# Branching ratios:                                                               
# Lambda = 580.-1350. A                                                           
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
#    (branching for all ionization)                                               
# Lambda = 0.-620. A                                                              
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#    (branching within total ionization branch)                                   
# Threshold:                                                                      
# Lambda = 1340. A                                                                
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
#                                                                                 
# 0          References for Cross Section of NO        O+N     
# Branching ratio and threshold:                                                  
# Lambda = 304.-616.2 A                                                           
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of NO        N+O     
# Branching ratio and threshold:                                                  
# Lambda = 304.-589.3 A                                                           
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0 Branching ratio for NO       Total        4 branches
#  Lambda  Total   
  80.60 1.28E-17 
  80.65 1.53E-17 
  80.70 1.94E-17 
  80.73 1.90E-17 
  80.78 2.34E-17 
  80.83 1.86E-17 
  80.90 3.54E-17 
  80.94 7.15E-17 
  80.97 6.44E-17 
  81.06 1.02E-16 
  81.22 1.75E-17 
  81.27 2.42E-17 
  81.32 1.53E-17 
  81.35 1.53E-17 
  81.45 8.04E-18 
  81.50 7.93E-18 
  81.55 9.45E-18 
  81.58 9.34E-18 
  81.62 1.15E-17 
  81.65 1.14E-17 
  81.68 1.13E-17 
  81.73 1.10E-17 
  81.76 9.53E-18 
  81.79 9.90E-18 
  81.82 1.15E-17 
  81.85 1.11E-17 
  81.88 1.19E-17 
  81.95 1.71E-17 
  81.99 1.53E-17 
  82.02 1.53E-17 
  82.05 1.49E-17 
  82.09 1.60E-17 
  82.12 1.43E-17 
  82.16 1.49E-17 
  82.25 7.96E-18 
  82.30 7.89E-18 
  82.37 1.22E-17 
  82.40 1.19E-17 
  82.45 1.31E-17 
  82.49 1.18E-17 
  82.53 1.25E-17 
  82.56 1.30E-17 
  82.62 1.75E-17 
  82.66 1.67E-17 
  82.69 1.60E-17 
  82.72 1.60E-17 
  82.78 1.51E-17 
  82.81 1.49E-17 
  82.87 1.31E-17 
  82.91 1.30E-17 
  82.94 1.40E-17 
  83.05 1.09E-17 
  83.11 1.32E-17 
  83.16 1.22E-17 
  83.25 1.31E-17 
  83.28 1.60E-17 
  83.32 2.08E-17 
  83.37 1.82E-17 
  83.40 1.71E-17 
  83.43 2.08E-17 
  83.46 2.05E-17 
  83.52 2.23E-17 
  83.56 1.82E-17 
  83.59 1.75E-17 
  83.73 1.35E-17 
  83.76 1.37E-17 
  83.85 1.21E-17 
  83.93 1.39E-17 
  83.97 1.37E-17 
  84.00 1.42E-17 
  84.05 1.45E-17 
  84.15 1.27E-17 
  84.20 1.46E-17 
  84.25 1.90E-17 
  84.29 2.34E-17 
  84.35 2.31E-17 
  84.46 1.75E-17 
  84.70 1.30E-17 
  84.85 1.49E-17 
  84.88 1.48E-17 
  84.97 1.47E-17 
  85.13 2.27E-17 
  85.20 1.94E-17 
  85.28 2.20E-17 
  85.43 1.86E-17 
  85.56 1.44E-17 
  85.63 1.86E-17 
  85.67 1.60E-17 
  85.70 1.75E-17 
  85.76 1.56E-17 
  85.79 1.34E-17 
  85.82 1.36E-17 
  85.91 1.25E-17 
  85.95 1.31E-17 
  85.98 1.30E-17 
  86.02 1.31E-17 
  86.06 2.16E-17 
  86.11 1.71E-17 
  86.15 1.94E-17 
  86.20 1.60E-17 
  86.23 1.47E-17 
  86.29 2.53E-17 
  86.33 2.08E-17 
  86.37 2.20E-17 
  86.40 1.56E-17 
  86.44 1.32E-17 
  86.47 1.15E-17 
  86.50 1.08E-17 
  86.53 1.13E-17 
  86.59 1.45E-17 
  86.63 1.35E-17 
  86.67 1.44E-17 
  86.71 1.31E-17 
  86.77 1.38E-17 
  86.86 1.97E-17 
  86.89 1.94E-17 
  86.94 2.57E-17 
  87.00 1.94E-17 
  87.03 2.23E-17 
  87.11 1.49E-17 
  87.14 1.33E-17 
  87.17 1.38E-17 
  87.21 1.36E-17 
  87.28 1.40E-17 
  87.31 1.44E-17 
  87.40 1.36E-17 
  87.43 1.27E-17 
  87.48 1.26E-17 
  87.51 1.32E-17 
  87.55 1.32E-17 
  87.58 1.41E-17 
  87.61 1.42E-17 
  87.62 1.41E-17 
  87.65 1.53E-17 
  87.68 1.53E-17 
  87.79 1.94E-17 
  87.82 2.05E-17 
  87.86 1.97E-17 
  87.89 1.90E-17 
  87.94 1.71E-17 
  87.98 1.94E-17 
  88.02 1.79E-17 
  88.11 2.33E-17 
  88.18 3.65E-17 
  88.23 3.01E-17 
  88.25 3.42E-17 
  88.30 2.79E-17 
  88.34 2.08E-17 
  88.40 1.94E-17 
  88.43 1.97E-17 
  88.50 3.80E-17 
  88.53 3.57E-17 
  88.57 3.35E-17 
  88.63 2.50E-17 
  88.68 1.21E-17 
  88.73 1.86E-17 
  88.76 1.90E-17 
  88.79 1.94E-17 
  88.84 2.31E-17 
  88.94 7.07E-17 
  89.09 2.53E-17 
  89.20 1.82E-17 
  89.27 1.79E-17 
  89.41 2.46E-17 
  89.45 2.46E-17 
  89.56 3.80E-17 
  89.66 9.86E-17 
  89.69 1.67E-16 
  89.73 3.35E-16 
  89.80 1.57E-16 
  89.87 7.93E-17 
  89.96 4.17E-17 
  90.10 2.79E-17 
  90.15 2.64E-17 
  90.24 2.49E-17 
  90.28 2.46E-17 
  90.37 2.53E-17 
  90.51 2.83E-17 
  90.61 4.09E-17 
  90.68 4.99E-17 
  90.76 5.40E-17 
  90.85 4.50E-17 
  91.05 3.20E-17 
  91.14 2.94E-17 
  91.21 2.87E-17 
  91.34 2.72E-17 
  91.42 2.83E-17 
  91.48 2.79E-17 
  91.60 3.01E-17 
  91.70 3.13E-17 
  91.78 3.13E-17 
  91.90 3.46E-17 
  92.00 3.28E-17 
  92.14 2.94E-17 
  92.23 3.05E-17 
  92.34 3.31E-17 
  92.40 3.31E-17 
  92.44 3.50E-17 
  92.48 3.42E-17 
  92.51 3.28E-17 
  92.58 3.35E-17 
  92.60 3.31E-17 
  92.68 3.46E-17 
  92.88 2.90E-17 
  93.00 3.13E-17 
  93.03 3.24E-17 
  93.15 3.05E-17 
  93.30 2.12E-17 
  93.46 1.53E-17 
  93.56 1.53E-17 
  93.62 1.56E-17 
  93.69 1.60E-17 
  93.76 1.82E-17 
  94.02 3.09E-17 
  94.16 4.13E-17 
  94.22 3.42E-17 
  94.32 3.61E-17 
  94.48 2.23E-17 
  94.52 2.16E-17 
  94.60 2.01E-17 
  94.67 1.82E-17 
  94.81 1.53E-17 
  94.91 1.34E-17 
  94.97 1.45E-17 
  95.09 1.47E-17 
  95.23 1.39E-17 
  95.37 1.68E-17 
  95.48 1.94E-17 
  95.57 1.82E-17 
  95.69 1.71E-17 
  95.78 1.71E-17 
  95.84 1.67E-17 
  96.00 2.01E-17 
  96.07 2.05E-17 
  96.17 1.82E-17 
  96.28 1.86E-17 
  96.41 1.82E-17 
  96.48 1.75E-17 
  96.60 1.94E-17 
  96.75 1.97E-17 
  96.83 2.12E-17 
  96.92 2.16E-17 
  97.03 2.08E-17 
  97.25 2.20E-17 
  97.34 2.08E-17 
  97.46 2.01E-17 
  97.62 1.82E-17 
  97.67 1.79E-17 
  97.75 2.08E-17 
  97.85 1.97E-17 
  97.92 1.86E-17 
  98.01 1.71E-17 
  98.13 2.01E-17 
  98.21 3.01E-17 
  98.38 2.94E-17 
  98.46 2.68E-17 
  98.61 2.08E-17 
  98.69 1.94E-17 
  98.85 1.86E-17 
  98.96 1.82E-17 
  99.06 1.82E-17 
  99.17 1.67E-17 
  99.33 2.01E-17 
  99.42 1.94E-17 
  99.52 1.64E-17 
  99.61 1.71E-17 
  99.66 1.71E-17 
  99.76 2.31E-17 
  99.88 2.68E-17 
 100.00 2.83E-17 
 100.07 3.09E-17 
 100.19 2.83E-17 
 100.26 2.57E-17 
 100.40 2.23E-17 
 100.46 2.08E-17 
 100.55 2.12E-17 
 100.62 2.05E-17 
 100.76 1.97E-17 
 100.88 1.94E-17 
 100.94 1.86E-17 
 101.00 1.71E-17 
 101.08 1.60E-17 
 101.15 1.53E-17 
 101.23 1.56E-17 
 101.35 1.82E-17 
 101.42 1.86E-17 
 101.60 1.94E-17 
 101.69 2.23E-17 
 101.78 2.20E-17 
 101.94 2.14E-17 
 102.08 2.57E-17 
 102.24 2.31E-17 
 102.34 2.53E-17 
 102.47 2.20E-17 
 102.57 1.94E-17 
 102.71 1.47E-17 
 102.82 1.19E-17 
 102.93 1.00E-17 
 103.02 8.93E-18 
 103.08 9.16E-18 
 103.19 1.38E-17 
 103.36 1.79E-17 
 103.43 1.71E-17 
 103.55 1.49E-17 
 103.65 1.53E-17 
 103.72 1.67E-17 
 103.81 1.41E-17 
 103.91 7.48E-18 
 103.99 1.22E-17 
 104.09 1.67E-17 
 104.25 1.71E-17 
 104.29 1.67E-17 
 104.35 1.64E-17 
 104.41 1.64E-17 
 104.53 1.53E-17 
 104.66 1.22E-17 
 104.71 1.08E-17 
 104.78 9.19E-18 
 104.95 7.78E-18 
 105.01 8.45E-18 
 105.06 9.49E-18 
 105.24 1.28E-17 
 105.42 1.38E-17 
 105.47 1.16E-17 
 105.55 1.18E-17 
 105.64 1.22E-17 
 105.88 1.19E-17 
 105.95 9.57E-18 
 106.17 8.04E-18 
 106.26 1.00E-17 
 106.36 1.19E-17 
 106.51 1.37E-17 
 106.64 1.12E-17 
 106.70 9.12E-18 
 106.76 7.93E-18 
 106.85 7.03E-18 
 106.89 6.75E-18 
 106.99 6.29E-18 
 107.07 6.74E-18 
 107.14 6.44E-18 
 107.22 6.81E-18 
 107.27 6.74E-18 
 107.32 7.11E-18 
 107.39 7.11E-18 
 107.53 7.37E-18 
 107.60 7.78E-18 
 107.70 8.60E-18 
 107.78 1.00E-17 
 107.98 8.86E-18 
 108.16 1.14E-17 
 108.30 8.49E-18 
 108.46 7.70E-18 
 108.61 9.53E-18 
 108.68 8.82E-18 
 108.77 7.48E-18 
 108.87 6.44E-18 
 109.00 5.81E-18 
 109.11 5.58E-18 
 109.17 5.40E-18 
 109.27 5.32E-18 
 109.34 5.25E-18 
 109.46 4.99E-18 
 109.59 5.36E-18 
 109.71 5.02E-18 
 109.79 4.84E-18 
 109.95 4.43E-18 
 110.06 4.43E-18 
 110.16 4.06E-18 
 110.21 3.95E-18 
 110.32 4.24E-18 
 110.38 3.60E-18 
 110.44 4.13E-18 
 110.50 4.35E-18 
 110.60 4.39E-18 
 110.72 5.06E-18 
 110.78 4.84E-18 
 110.83 5.77E-18 
 110.89 6.10E-18 
 110.99 6.77E-18 
 111.05 6.36E-18 
 111.16 5.77E-18 
 111.24 5.21E-18 
 111.32 5.02E-18 
 111.44 4.62E-18 
 111.51 4.62E-18 
 111.65 4.39E-18 
 111.75 4.02E-18 
 111.79 3.87E-18 
 111.83 3.83E-18 
 111.91 3.83E-18 
