#
#
#
#---------------------------------------------------------------
# DATAFILE:   NO2_Vandaele(1998)_220K_238-667nm.txt
# NAME:   nitrogen dioxide
# FORMULA:    NO2
# AUTHOR(YEAR):   Vandaele(1998)
# T:  220K, 294K
# λ:  238-667nm
# BIBLIOGRAPHY:   A.C. Vandaele, C. Hermans, P.C. Simon, M. Carleer, R. Colins, S. Fally, 
# M.F. Mérienne, A. Jenouvrier, and B. Coquart, 
# "Measurements of the NO2 absorption cross-sections from 42000 cm-1 to 10000 cm-1 (238-1000 nm) at 220 K and 294 K", 
# J. Quant. Spectrosc. Radiat. Transfer 59, 171-184 (1998); DOI: 10.1016/S0022-4073(97)00168-4
# COMMENTS:   Absorption measurements using a Fourier transform spectrometer at a spectral resolution of 2 cm-1 
# (0.01 nm at 240 nm to 0.2 nm at 1000 nm)
# Data file from the webpage of the Belgian Institute for Space Aeronomy
# http://spectrolab.aeronomie.be/index.htm
#
# data is downloaded from Spectral Atlas
#  Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#  The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#  Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
# 
# Non diluted NO2
# temperature = 220 K, 294 K
# pressures: from 0.007 to 2 torr
# path lengths: 20 and 60 m
# 
#  nm         220 K          294 K
 330.69502  0.288753E-18  0.313973E-18
 330.70557  0.288877E-18  0.311734E-18
 330.71612  0.289010E-18  0.312670E-18
 330.72667  0.289154E-18  0.313249E-18
 330.73722  0.289310E-18  0.313742E-18
 330.74777  0.289480E-18  0.314153E-18
 330.75833  0.289664E-18  0.313167E-18
 330.76888  0.289863E-18  0.313826E-18
 330.77943  0.290077E-18  0.314595E-18
 330.78999  0.290304E-18  0.314013E-18
 330.80054  0.290543E-18  0.313414E-18
 330.81110  0.290792E-18  0.314386E-18
 330.82165  0.291048E-18  0.314330E-18
 330.83221  0.291309E-18  0.314369E-18
 330.84277  0.291572E-18  0.316039E-18
 330.85333  0.291834E-18  0.315383E-18
 330.86388  0.292090E-18  0.314728E-18
 330.87444  0.292340E-18  0.314349E-18
 330.88500  0.292579E-18  0.314640E-18
 330.89557  0.292807E-18  0.316500E-18
 330.90613  0.293021E-18  0.316115E-18
 330.91669  0.293221E-18  0.315799E-18
 330.92725  0.293407E-18  0.316277E-18
 330.93782  0.293579E-18  0.316337E-18
 330.94838  0.293739E-18  0.316136E-18
 330.95894  0.293888E-18  0.315524E-18
 330.96951  0.294030E-18  0.317307E-18
 330.98008  0.294166E-18  0.317473E-18
 330.99064  0.294301E-18  0.316859E-18
 331.00121  0.294437E-18  0.318219E-18
 331.01178  0.294578E-18  0.317017E-18
 331.02235  0.294728E-18  0.317460E-18
 331.03292  0.294887E-18  0.318134E-18
 331.04349  0.295060E-18  0.318018E-18
 331.05406  0.295246E-18  0.319041E-18
 331.06463  0.295448E-18  0.317235E-18
 331.07520  0.295663E-18  0.318100E-18
 331.08578  0.295891E-18  0.318893E-18
 331.09635  0.296129E-18  0.318758E-18
 331.10693  0.296375E-18  0.319887E-18
 331.11750  0.296623E-18  0.318334E-18
 331.12808  0.296869E-18  0.319767E-18
 331.13865  0.297108E-18  0.320697E-18
 331.14923  0.297334E-18  0.318877E-18
 331.15981  0.297540E-18  0.319696E-18
 331.17039  0.297722E-18  0.320375E-18
 331.18097  0.297873E-18  0.320939E-18
 331.19155  0.297988E-18  0.320595E-18
 331.20213  0.298064E-18  0.319594E-18
 331.21271  0.298098E-18  0.320486E-18
 331.22329  0.298087E-18  0.321747E-18
 331.23387  0.298032E-18  0.320485E-18
 331.24445  0.297933E-18  0.320711E-18
 331.25504  0.297794E-18  0.321701E-18
 331.26562  0.297617E-18  0.320235E-18
 331.27621  0.297409E-18  0.321685E-18
 331.28679  0.297176E-18  0.322270E-18
 331.29738  0.296926E-18  0.321150E-18
 331.30797  0.296668E-18  0.320882E-18
 331.31856  0.296411E-18  0.320153E-18
 331.32915  0.296163E-18  0.321750E-18
 331.33973  0.295935E-18  0.321946E-18
 331.35032  0.295736E-18  0.321894E-18
 331.36092  0.295573E-18  0.322848E-18
 331.37151  0.295453E-18  0.322527E-18
 331.38210  0.295382E-18  0.322840E-18
 331.39269  0.295364E-18  0.321775E-18
 331.40328  0.295401E-18  0.322243E-18
 331.41388  0.295494E-18  0.323060E-18
 331.42447  0.295639E-18  0.321574E-18
 331.43507  0.295835E-18  0.322227E-18
 331.44566  0.296075E-18  0.323235E-18
 331.45626  0.296350E-18  0.323095E-18
 331.46686  0.296654E-18  0.323709E-18
 331.47746  0.296974E-18  0.323111E-18
 331.48806  0.297299E-18  0.322027E-18
 331.49866  0.297618E-18  0.323374E-18
 331.50926  0.297919E-18  0.323219E-18
 331.51986  0.298189E-18  0.322492E-18
 331.53046  0.298418E-18  0.321789E-18
 331.54106  0.298594E-18  0.322174E-18
 331.55166  0.298711E-18  0.324952E-18
 331.56227  0.298760E-18  0.322687E-18
 331.57287  0.298736E-18  0.322695E-18
 331.58348  0.298637E-18  0.323982E-18
 331.59408  0.298463E-18  0.322079E-18
 331.60469  0.298215E-18  0.324355E-18
 331.61529  0.297897E-18  0.323438E-18
 331.62590  0.297516E-18  0.322634E-18
 331.63651  0.297081E-18  0.323788E-18
 331.64712  0.296601E-18  0.322723E-18
 331.65773  0.296089E-18  0.324189E-18
 331.66834  0.295557E-18  0.323526E-18
 331.67895  0.295018E-18  0.322994E-18
 331.68956  0.294486E-18  0.323212E-18
 331.70017  0.293975E-18  0.321339E-18
 331.71079  0.293495E-18  0.321428E-18
 331.72140  0.293059E-18  0.321347E-18
 331.73202  0.292677E-18  0.321463E-18
 331.74263  0.292356E-18  0.322682E-18
 331.75325  0.292102E-18  0.322049E-18
 331.76386  0.291918E-18  0.321862E-18
 331.77448  0.291807E-18  0.323459E-18
 331.78510  0.291765E-18  0.323090E-18
 331.79572  0.291791E-18  0.322440E-18
 331.80634  0.291878E-18  0.322486E-18
 331.81696  0.292018E-18  0.322281E-18
 331.82758  0.292203E-18  0.322213E-18
 331.83820  0.292421E-18  0.321086E-18
 331.84882  0.292662E-18  0.320725E-18
 331.85944  0.292913E-18  0.320592E-18
 331.87006  0.293164E-18  0.322586E-18
 331.88069  0.293402E-18  0.323483E-18
 331.89131  0.293617E-18  0.321049E-18
 331.90194  0.293800E-18  0.321659E-18
 331.91256  0.293944E-18  0.320478E-18
 331.92319  0.294043E-18  0.320066E-18
 331.93382  0.294094E-18  0.321872E-18
 331.94445  0.294096E-18  0.321973E-18
 331.95508  0.294048E-18  0.321826E-18
 331.96570  0.293956E-18  0.321555E-18
 331.97633  0.293823E-18  0.322655E-18
 331.98697  0.293658E-18  0.321686E-18
 331.99760  0.293470E-18  0.321540E-18
 332.00823  0.293268E-18  0.322431E-18
 332.01886  0.293064E-18  0.321667E-18
 332.02949  0.292870E-18  0.322421E-18
 332.04013  0.292699E-18  0.322839E-18
 332.05076  0.292561E-18  0.323561E-18
 332.06140  0.292467E-18  0.322803E-18
 332.07204  0.292429E-18  0.321608E-18
 332.08267  0.292455E-18  0.322950E-18
 332.09331  0.292551E-18  0.324204E-18
 332.10395  0.292724E-18  0.324149E-18
 332.11459  0.292976E-18  0.323063E-18
 332.12523  0.293309E-18  0.324714E-18
 332.13587  0.293723E-18  0.324432E-18
 332.14651  0.294214E-18  0.323054E-18
 332.15715  0.294778E-18  0.325077E-18
 332.16779  0.295409E-18  0.323853E-18
 332.17843  0.296100E-18  0.323833E-18
 332.18908  0.296843E-18  0.326907E-18
 332.19972  0.297629E-18  0.325760E-18
 332.21037  0.298449E-18  0.325267E-18
 332.22101  0.299284E-18  0.327140E-18
 332.23166  0.300141E-18  0.328143E-18
 332.24231  0.300999E-18  0.329260E-18
 332.25295  0.301874E-18  0.328939E-18
 332.26360  0.302750E-18  0.329362E-18
 332.27425  0.303593E-18  0.329403E-18
 332.28490  0.304430E-18  0.329455E-18
 332.29555  0.305259E-18  0.332788E-18
 332.30620  0.306198E-18  0.333050E-18
 332.31686  0.306909E-18  0.333065E-18
 332.32751  0.307748E-18  0.334216E-18
 332.33816  0.308719E-18  0.334084E-18
 332.34882  0.309423E-18  0.335963E-18
 332.35947  0.310449E-18  0.336660E-18
 332.37013  0.311317E-18  0.337553E-18
 332.38078  0.312030E-18  0.337817E-18
 332.39144  0.313027E-18  0.338100E-18
 332.40210  0.313930E-18  0.338863E-18
 332.41275  0.315055E-18  0.339249E-18
 332.42341  0.316154E-18  0.341429E-18
 332.43407  0.317087E-18  0.341895E-18
 332.44473  0.318251E-18  0.342666E-18
 332.45539  0.319405E-18  0.344239E-18
 332.46605  0.320677E-18  0.344973E-18
 332.47672  0.321876E-18  0.346798E-18
 332.48738  0.323271E-18  0.347875E-18
 332.49804  0.324822E-18  0.348324E-18
 332.50871  0.326129E-18  0.349008E-18
 332.51937  0.327576E-18  0.350179E-18
 332.53004  0.328723E-18  0.350515E-18
 332.54070  0.330085E-18  0.351161E-18
 332.55137  0.331704E-18  0.353082E-18
 332.56204  0.333160E-18  0.353274E-18
 332.57271  0.334578E-18  0.354307E-18
 332.58337  0.335653E-18  0.355724E-18
 332.59404  0.336958E-18  0.357424E-18
 332.60471  0.338362E-18  0.359966E-18
 332.61539  0.339465E-18  0.358989E-18
 332.62606  0.340532E-18  0.358741E-18
 332.63673  0.341691E-18  0.361072E-18
 332.64740  0.342981E-18  0.360532E-18
 332.65808  0.344150E-18  0.362126E-18
 332.66875  0.344781E-18  0.362856E-18
 332.67943  0.345780E-18  0.361867E-18
 332.69010  0.347308E-18  0.366263E-18
 332.70078  0.348129E-18  0.367170E-18
 332.71146  0.349012E-18  0.367872E-18
 332.72213  0.349941E-18  0.369059E-18
 332.73281  0.350733E-18  0.367870E-18
 332.74349  0.352011E-18  0.369726E-18
 332.75417  0.352428E-18  0.370151E-18
 332.76485  0.353191E-18  0.372353E-18
 332.77553  0.354707E-18  0.373125E-18
 332.78621  0.354950E-18  0.373073E-18
 332.79690  0.356163E-18  0.374334E-18
 332.80758  0.357484E-18  0.374377E-18
 332.81826  0.357808E-18  0.375184E-18
 332.82895  0.359007E-18  0.375251E-18
 332.83963  0.359975E-18  0.378588E-18
 332.85032  0.360784E-18  0.377822E-18
 332.86101  0.361584E-18  0.377624E-18
 332.87170  0.362586E-18  0.380495E-18
 332.88238  0.363080E-18  0.378392E-18
 332.89307  0.363796E-18  0.381812E-18
 332.90376  0.365310E-18  0.382946E-18
 332.91445  0.365731E-18  0.382088E-18
 332.92514  0.366427E-18  0.382203E-18
 332.93583  0.367301E-18  0.381875E-18
 332.94653  0.367775E-18  0.385779E-18
 332.95722  0.368194E-18  0.384217E-18
 332.96791  0.369114E-18  0.385091E-18
 332.97861  0.369320E-18  0.386040E-18
 332.98930  0.369131E-18  0.384587E-18
 333.00000  0.370165E-18  0.387146E-18
 333.01069  0.370117E-18  0.386110E-18
 333.02139  0.370411E-18  0.385766E-18
 333.03209  0.370659E-18  0.387482E-18
 333.04279  0.370360E-18  0.386259E-18
 333.05349  0.371111E-18  0.386051E-18
 333.06419  0.370994E-18  0.387099E-18
 333.07489  0.370593E-18  0.385224E-18
 333.08559  0.370910E-18  0.387100E-18
 333.09629  0.371073E-18  0.387565E-18
 333.10699  0.370913E-18  0.383662E-18
 333.11770  0.370394E-18  0.385940E-18
 333.12840  0.369768E-18  0.385636E-18
 333.13911  0.370161E-18  0.384843E-18
 333.14981  0.369962E-18  0.386078E-18
 333.16052  0.369247E-18  0.384019E-18
 333.17122  0.369216E-18  0.385547E-18
 333.18193  0.367723E-18  0.384245E-18
 333.19264  0.367118E-18  0.383853E-18
 333.20335  0.367818E-18  0.384831E-18
 333.21406  0.366445E-18  0.383160E-18
 333.22477  0.364986E-18  0.384102E-18
 333.23548  0.364629E-18  0.383714E-18
 333.24619  0.363531E-18  0.382809E-18
 333.25690  0.362198E-18  0.380102E-18
 333.26761  0.361214E-18  0.378883E-18
 333.27833  0.360159E-18  0.380400E-18
 333.28904  0.359151E-18  0.378518E-18
 333.29976  0.358373E-18  0.379178E-18
 333.31047  0.356796E-18  0.379915E-18
 333.32119  0.354955E-18  0.377210E-18
 333.33191  0.353951E-18  0.375709E-18
 333.34262  0.352089E-18  0.374947E-18
 333.35334  0.351286E-18  0.374860E-18
 333.36406  0.350578E-18  0.376137E-18
 333.37478  0.348396E-18  0.374191E-18
 333.38550  0.347581E-18  0.371186E-18
 333.39622  0.345996E-18  0.371136E-18
 333.40694  0.345030E-18  0.369341E-18
 333.41767  0.344600E-18  0.368759E-18
 333.42839  0.342630E-18  0.367987E-18
 333.43911  0.341400E-18  0.366821E-18
 333.44984  0.339731E-18  0.367349E-18
 333.46056  0.339370E-18  0.366860E-18
 333.47129  0.338726E-18  0.367860E-18
 333.48202  0.336777E-18  0.365769E-18
 333.49274  0.337101E-18  0.363492E-18
 333.50347  0.335834E-18  0.362881E-18
 333.51420  0.334608E-18  0.359865E-18
 333.52493  0.334531E-18  0.360481E-18
 333.53566  0.333271E-18  0.362701E-18
 333.54639  0.333544E-18  0.360451E-18
 333.55712  0.332496E-18  0.358604E-18
 333.56786  0.331250E-18  0.359841E-18
 333.57859  0.331562E-18  0.357566E-18
 333.58932  0.330033E-18  0.355828E-18
 333.60006  0.329436E-18  0.356920E-18
 333.61079  0.329119E-18  0.355965E-18
 333.62153  0.327902E-18  0.355042E-18
 333.63226  0.328084E-18  0.353650E-18
 333.64300  0.327382E-18  0.355541E-18
 333.65374  0.325634E-18  0.356866E-18
 333.66448  0.324950E-18  0.353954E-18
 333.67522  0.325188E-18  0.353498E-18
 333.68596  0.324334E-18  0.353094E-18
 333.69670  0.323130E-18  0.352809E-18
 333.70744  0.323370E-18  0.352470E-18
 333.71818  0.322293E-18  0.352104E-18
 333.72892  0.320521E-18  0.351649E-18
 333.73966  0.319862E-18  0.351625E-18
 333.75041  0.320048E-18  0.350794E-18
 333.76115  0.320479E-18  0.348641E-18
 333.77190  0.319908E-18  0.350330E-18
 333.78264  0.318662E-18  0.349053E-18
 333.79339  0.317546E-18  0.347207E-18
 333.80414  0.317485E-18  0.346120E-18
 333.81489  0.316545E-18  0.346188E-18
 333.82564  0.315394E-18  0.347883E-18
 333.83639  0.315060E-18  0.346763E-18
 333.84714  0.314409E-18  0.346256E-18
 333.85789  0.313858E-18  0.343126E-18
 333.86864  0.312566E-18  0.344210E-18
 333.87939  0.312119E-18  0.344895E-18
 333.89014  0.311075E-18  0.340796E-18
 333.90090  0.310259E-18  0.342682E-18
 333.91165  0.310625E-18  0.341788E-18
 333.92241  0.308463E-18  0.341819E-18
 333.93316  0.308035E-18  0.340147E-18
 333.94392  0.309246E-18  0.336817E-18
 333.95468  0.306588E-18  0.338899E-18
 333.96543  0.303996E-18  0.336915E-18
 333.97619  0.305100E-18  0.336454E-18
 333.98695  0.304091E-18  0.336450E-18
 333.99771  0.302200E-18  0.334129E-18
 334.00847  0.302176E-18  0.332970E-18
 334.01923  0.300888E-18  0.332925E-18
 334.02999  0.300792E-18  0.334583E-18
 334.04076  0.299506E-18  0.330996E-18
 334.05152  0.298080E-18  0.329024E-18
 334.06228  0.297231E-18  0.331021E-18
 334.07305  0.295679E-18  0.329565E-18
 334.08382  0.296082E-18  0.329602E-18
 334.09458  0.294296E-18  0.328414E-18
 334.10535  0.294065E-18  0.326018E-18
 334.11612  0.294169E-18  0.326175E-18
 334.12688  0.292593E-18  0.324362E-18
 334.13765  0.293027E-18  0.324605E-18
 334.14842  0.291958E-18  0.326303E-18
 334.15919  0.291509E-18  0.324485E-18
 334.16996  0.290093E-18  0.323269E-18
 334.18074  0.288853E-18  0.323143E-18
 334.19151  0.289795E-18  0.323840E-18
 334.20228  0.289506E-18  0.321380E-18
 334.21305  0.288641E-18  0.321925E-18
 334.22383  0.287575E-18  0.325451E-18
 334.23460  0.288120E-18  0.321004E-18
 334.24538  0.287520E-18  0.322005E-18
 334.25616  0.286078E-18  0.323866E-18
 334.26693  0.286254E-18  0.320984E-18
 334.27771  0.286485E-18  0.322493E-18
 334.28849  0.286720E-18  0.320466E-18
 334.29927  0.286182E-18  0.319157E-18
 334.31005  0.286957E-18  0.320364E-18
 334.32083  0.287039E-18  0.321655E-18
 334.33161  0.285864E-18  0.323281E-18
 334.34239  0.287200E-18  0.322564E-18
 334.35318  0.286911E-18  0.321654E-18
 334.36396  0.286766E-18  0.320844E-18
 334.37474  0.289641E-18  0.320798E-18
 334.38553  0.288630E-18  0.322922E-18
 334.39631  0.287483E-18  0.323215E-18
 334.40710  0.290324E-18  0.321321E-18
 334.41789  0.290923E-18  0.322264E-18
 334.42868  0.289990E-18  0.323619E-18
 334.43946  0.290323E-18  0.322870E-18
 334.45025  0.290646E-18  0.322330E-18
 334.46104  0.291111E-18  0.323848E-18
 334.47183  0.292677E-18  0.324393E-18
 334.48262  0.293503E-18  0.324396E-18
 334.49342  0.294043E-18  0.327117E-18
 334.50421  0.295372E-18  0.325291E-18
 334.51500  0.295735E-18  0.324883E-18
 334.52580  0.297130E-18  0.325415E-18
 334.53659  0.298572E-18  0.325017E-18
 334.54739  0.298229E-18  0.327191E-18
 334.55818  0.299416E-18  0.324847E-18
 334.56898  0.300497E-18  0.327034E-18
 334.57978  0.300525E-18  0.328696E-18
 334.59057  0.300935E-18  0.329056E-18
 334.60137  0.301311E-18  0.331958E-18
 334.61217  0.303919E-18  0.328004E-18
 334.62297  0.304465E-18  0.329359E-18
 334.63377  0.303363E-18  0.332993E-18
 334.64458  0.304942E-18  0.331333E-18
 334.65538  0.306896E-18  0.332415E-18
 334.66618  0.309291E-18  0.334097E-18
 334.67698  0.308492E-18  0.333401E-18
 334.68779  0.308396E-18  0.335300E-18
 334.69859  0.311140E-18  0.338032E-18
 334.70940  0.311682E-18  0.336505E-18
 334.72021  0.311898E-18  0.338071E-18
 334.73101  0.312666E-18  0.340140E-18
 334.74182  0.313901E-18  0.341354E-18
 334.75263  0.315238E-18  0.343181E-18
 334.76344  0.317876E-18  0.343460E-18
 334.77425  0.318852E-18  0.345474E-18
 334.78506  0.320114E-18  0.346518E-18
 334.79587  0.322722E-18  0.348196E-18
 334.80668  0.322789E-18  0.348692E-18
 334.81750  0.325863E-18  0.349176E-18
 334.82831  0.328077E-18  0.353309E-18
 334.83912  0.327735E-18  0.355682E-18
 334.84994  0.330531E-18  0.356899E-18
 334.86075  0.333250E-18  0.357681E-18
 334.87157  0.335007E-18  0.359390E-18
 334.88239  0.337847E-18  0.360467E-18
 334.89321  0.339324E-18  0.363123E-18
 334.90402  0.340517E-18  0.363976E-18
 334.91484  0.342830E-18  0.364862E-18
 334.92566  0.344375E-18  0.369681E-18
 334.93648  0.347467E-18  0.369225E-18
 334.94730  0.349536E-18  0.370481E-18
 334.95813  0.349323E-18  0.372465E-18
 334.96895  0.351251E-18  0.371920E-18
 334.97977  0.354723E-18  0.373051E-18
 334.99060  0.355439E-18  0.373301E-18
 335.00142  0.356455E-18  0.375182E-18
 335.01225  0.360012E-18  0.375895E-18
 335.02307  0.359957E-18  0.377080E-18
 335.03390  0.359838E-18  0.378051E-18
 335.04473  0.360773E-18  0.376947E-18
 335.05555  0.360755E-18  0.378922E-18
 335.06638  0.360014E-18  0.379827E-18
 335.07721  0.359109E-18  0.377429E-18
 335.08804  0.360576E-18  0.378371E-18
 335.09887  0.359248E-18  0.380077E-18
 335.10971  0.358743E-18  0.377795E-18
 335.12054  0.358499E-18  0.377186E-18
 335.13137  0.356029E-18  0.376919E-18
 335.14220  0.356620E-18  0.375898E-18
 335.15304  0.353109E-18  0.376381E-18
 335.16387  0.350921E-18  0.375000E-18
 335.17471  0.352576E-18  0.374005E-18
 335.18555  0.349467E-18  0.374100E-18
 335.19638  0.348674E-18  0.373979E-18
 335.20722  0.348366E-18  0.371860E-18
 335.21806  0.344877E-18  0.369392E-18
 335.22890  0.343646E-18  0.370426E-18
 335.23974  0.342747E-18  0.369520E-18
 335.25058  0.340901E-18  0.367859E-18
 335.26142  0.339956E-18  0.367991E-18
 335.27226  0.338435E-18  0.365945E-18
 335.28311  0.335497E-18  0.365096E-18
 335.29395  0.334201E-18  0.365607E-18
 335.30479  0.333508E-18  0.363915E-18
 335.31564  0.331857E-18  0.362826E-18
 335.32649  0.330699E-18  0.362433E-18
 335.33733  0.329393E-18  0.361822E-18
 335.34818  0.329132E-18  0.360930E-18
 335.35903  0.329251E-18  0.359642E-18
 335.36988  0.329100E-18  0.359168E-18
 335.38072  0.328168E-18  0.358871E-18
 335.39157  0.326104E-18  0.357727E-18
 335.40242  0.326341E-18  0.356576E-18
 335.41328  0.326098E-18  0.356732E-18
 335.42413  0.324836E-18  0.356976E-18
 335.43498  0.324417E-18  0.355825E-18
 335.44583  0.323926E-18  0.354131E-18
 335.45669  0.324464E-18  0.354411E-18
 335.46754  0.322973E-18  0.354301E-18
 335.47840  0.322656E-18  0.352864E-18
 335.48925  0.322722E-18  0.353422E-18
 335.50011  0.321310E-18  0.352019E-18
 335.51097  0.322128E-18  0.351430E-18
 335.52183  0.319599E-18  0.351706E-18
 335.53269  0.318182E-18  0.351068E-18
 335.54355  0.317983E-18  0.352300E-18
 335.55441  0.317568E-18  0.350569E-18
 335.56527  0.318863E-18  0.350257E-18
 335.57613  0.315072E-18  0.350423E-18
 335.58699  0.314657E-18  0.348389E-18
 335.59786  0.316873E-18  0.349332E-18
 335.60872  0.315376E-18  0.350046E-18
 335.61958  0.315370E-18  0.349520E-18
 335.63045  0.313988E-18  0.348410E-18
 335.64132  0.313264E-18  0.347559E-18
 335.65218  0.314865E-18  0.347173E-18
 335.66305  0.313044E-18  0.347789E-18
 335.67392  0.313742E-18  0.348872E-18
 335.68479  0.314490E-18  0.347051E-18
 335.69566  0.309757E-18  0.346376E-18
 335.70653  0.311030E-18  0.347620E-18
 335.71740  0.312552E-18  0.347165E-18
 335.72827  0.310755E-18  0.346100E-18
 335.73914  0.311574E-18  0.346954E-18
 335.75001  0.312651E-18  0.347746E-18
 335.76089  0.313301E-18  0.347161E-18
 335.77176  0.312321E-18  0.347215E-18
 335.78264  0.313989E-18  0.347704E-18
 335.79351  0.313518E-18  0.348328E-18
 335.80439  0.312323E-18  0.347349E-18
 335.81527  0.314299E-18  0.347728E-18
 335.82615  0.314195E-18  0.348137E-18
 335.83702  0.313886E-18  0.347445E-18
 335.84790  0.313350E-18  0.348960E-18
 335.85878  0.315905E-18  0.349793E-18
 335.86966  0.315660E-18  0.350684E-18
 335.88055  0.314294E-18  0.349024E-18
 335.89143  0.317239E-18  0.348863E-18
 335.90231  0.318195E-18  0.350746E-18
 335.91320  0.320141E-18  0.349131E-18
 335.92408  0.318578E-18  0.350470E-18
 335.93496  0.317355E-18  0.351357E-18
 335.94585  0.321271E-18  0.351081E-18
 335.95674  0.321195E-18  0.351890E-18
 335.96762  0.320558E-18  0.352655E-18
 335.97851  0.321487E-18  0.353604E-18
 335.98940  0.322722E-18  0.353338E-18
 336.00029  0.323671E-18  0.354091E-18
 336.01118  0.322424E-18  0.354357E-18
 336.02207  0.324480E-18  0.355042E-18
 336.03296  0.326586E-18  0.354259E-18
 336.04385  0.326299E-18  0.354026E-18
 336.05475  0.327718E-18  0.356456E-18
 336.06564  0.327746E-18  0.356597E-18
 336.07653  0.328166E-18  0.357765E-18
 336.08743  0.328535E-18  0.357266E-18
 336.09833  0.331092E-18  0.357172E-18
 336.10922  0.333153E-18  0.358496E-18
 336.12012  0.329586E-18  0.358503E-18
 336.13102  0.331193E-18  0.360204E-18
 336.14192  0.334056E-18  0.359668E-18
 336.15281  0.334078E-18  0.360638E-18
 336.16371  0.334460E-18  0.361978E-18
 336.17461  0.334546E-18  0.361084E-18
 336.18552  0.335914E-18  0.362622E-18
 336.19642  0.337064E-18  0.363315E-18
 336.20732  0.338726E-18  0.362990E-18
 336.21822  0.337791E-18  0.362525E-18
 336.22913  0.337800E-18  0.363200E-18
 336.24003  0.339103E-18  0.364465E-18
 336.25094  0.338886E-18  0.364582E-18
 336.26185  0.341065E-18  0.366084E-18
 336.27275  0.340372E-18  0.365792E-18
 336.28366  0.340050E-18  0.364698E-18
 336.29457  0.340839E-18  0.366230E-18
 336.30548  0.340373E-18  0.367038E-18
 336.31639  0.341996E-18  0.366953E-18
 336.32730  0.343133E-18  0.366642E-18
 336.33821  0.343226E-18  0.367001E-18
 336.34912  0.342834E-18  0.367799E-18
 336.36003  0.344578E-18  0.367283E-18
 336.37095  0.343596E-18  0.367096E-18
 336.38186  0.341880E-18  0.367274E-18
 336.39278  0.343371E-18  0.368268E-18
 336.40369  0.342459E-18  0.367927E-18
 336.41461  0.344555E-18  0.366455E-18
 336.42552  0.343745E-18  0.368226E-18
 336.43644  0.342198E-18  0.369396E-18
 336.44736  0.343996E-18  0.368683E-18
 336.45828  0.339528E-18  0.368934E-18
 336.46920  0.340035E-18  0.369950E-18
 336.48012  0.342705E-18  0.369862E-18
 336.49104  0.340884E-18  0.369674E-18
 336.50196  0.343090E-18  0.370723E-18
 336.51288  0.342448E-18  0.369145E-18
 336.52381  0.340072E-18  0.368920E-18
 336.53473  0.341320E-18  0.370380E-18
 336.54566  0.340364E-18  0.369384E-18
 336.55658  0.340920E-18  0.370153E-18
 336.56751  0.342233E-18  0.370707E-18
 336.57843  0.341662E-18  0.369804E-18
 336.58936  0.342798E-18  0.370165E-18
 336.60029  0.341551E-18  0.369302E-18
 336.61122  0.341477E-18  0.368354E-18
 336.62215  0.342381E-18  0.369446E-18
 336.63308  0.342710E-18  0.370164E-18
 336.64401  0.344964E-18  0.370040E-18
 336.65494  0.344004E-18  0.370041E-18
 336.66587  0.343764E-18  0.371017E-18
 336.67681  0.345550E-18  0.370726E-18
 336.68774  0.346418E-18  0.369888E-18
 336.69868  0.346066E-18  0.371582E-18
 336.70961  0.345154E-18  0.371568E-18
 336.72055  0.344362E-18  0.371843E-18
 336.73148  0.344955E-18  0.372512E-18
 336.74242  0.346170E-18  0.371301E-18
 336.75336  0.346396E-18  0.372148E-18
 336.76430  0.347375E-18  0.372887E-18
 336.77524  0.344343E-18  0.373134E-18
 336.78618  0.346651E-18  0.372819E-18
 336.79712  0.349516E-18  0.373055E-18
 336.80806  0.344516E-18  0.373803E-18
 336.81900  0.345996E-18  0.373695E-18
 336.82995  0.347073E-18  0.373967E-18
 336.84089  0.345905E-18  0.372648E-18
 336.85184  0.344953E-18  0.373245E-18
 336.86278  0.345194E-18  0.373758E-18
 336.87373  0.345654E-18  0.372800E-18
 336.88467  0.340766E-18  0.372248E-18
 336.89562  0.341798E-18  0.371468E-18
 336.90657  0.343500E-18  0.372617E-18
 336.91752  0.340230E-18  0.372003E-18
 336.92847  0.340254E-18  0.372263E-18
 336.93942  0.340438E-18  0.372711E-18
 336.95037  0.338139E-18  0.371314E-18
 336.96132  0.337602E-18  0.371704E-18
 336.97227  0.337795E-18  0.371299E-18
 336.98323  0.336932E-18  0.370433E-18
 336.99418  0.338224E-18  0.369298E-18
 337.00513  0.336686E-18  0.369203E-18
 337.01609  0.334309E-18  0.369339E-18
 337.02705  0.336195E-18  0.368168E-18
 337.03800  0.335225E-18  0.367114E-18
 337.04896  0.331790E-18  0.367105E-18
 337.05992  0.331077E-18  0.367432E-18
 337.07088  0.332126E-18  0.366313E-18
 337.08184  0.331041E-18  0.366509E-18
 337.09280  0.328954E-18  0.365687E-18
 337.10376  0.330039E-18  0.365787E-18
 337.11472  0.329409E-18  0.365561E-18
 337.12568  0.326787E-18  0.362381E-18
 337.13664  0.328000E-18  0.362849E-18
 337.14761  0.329080E-18  0.361986E-18
 337.15857  0.327768E-18  0.361396E-18
 337.16954  0.327649E-18  0.363200E-18
 337.18050  0.327069E-18  0.362578E-18
