# 0          References for Cross Section of NO        Total   
# Cross section:                                                                  
# Lambda = 1.-180. A                                                              
#    Cross section synthesized from the atomic cross section of N and O           
# Lambda = 180.-580. A                                                            
#    Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
#    J. Quant. Spectr. Rad. Trans. 13, 1023                                       
# Lambda = 580.-1350. A                                                           
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
# Lambda = 1350.-1910. A                                                          
#    Marmo, F. F. (1953)                                                          
#    J. Opt. Soc. Am. 43, 1186                                                    
#                                                                                 
# 0          References for Cross Section of NO        NO+     
# Branching ratios:                                                               
# Lambda = 580.-1350. A                                                           
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
#    (branching for all ionization)                                               
# Lambda = 0.-620. A                                                              
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#    (branching within total ionization branch)                                   
# Threshold:                                                                      
# Lambda = 1340. A                                                                
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
#                                                                                 
# 0          References for Cross Section of NO        O+N     
# Branching ratio and threshold:                                                  
# Lambda = 304.-616.2 A                                                           
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of NO        N+O     
# Branching ratio and threshold:                                                  
# Lambda = 304.-589.3 A                                                           
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0 Branching ratio for NO       Total        4 branches
#  Lambda  Total   
 113.33 2.88E-19
 113.38 3.64E-19
 113.43 4.57E-19
 113.54 6.89E-19
 113.60 7.29E-19
 113.66 9.01E-19
 113.75 1.14E-18
 113.80 1.03E-18
 113.87 9.27E-19
 114.00 6.91E-19
 114.12 6.59E-19
 114.17 7.29E-19
 114.31 8.04E-19
 114.44 7.97E-19
 114.47 7.91E-19
 114.60 5.97E-19
 114.78 6.15E-19
 114.86 5.45E-19
 115.01 4.73E-19
 115.09 3.99E-19
 115.21 3.92E-19
 115.38 3.54E-19
 115.49 3.51E-19
 115.59 3.80E-19
 115.65 3.62E-19
 115.70 3.71E-19
 115.74 4.06E-19
 115.81 3.69E-19
 115.87 2.82E-19
 115.98 2.47E-19
 116.07 2.52E-19
 116.13 2.27E-19
 116.29 2.75E-19
 116.39 2.74E-19
 116.49 3.21E-19
 116.61 3.01E-19
 116.68 3.41E-19
 116.72 3.29E-19
 116.82 3.30E-19
 116.88 3.37E-19
 116.91 3.48E-19
 117.06 4.53E-19
 117.21 4.91E-19
 117.32 5.45E-19
 117.44 3.90E-19
 117.59 3.51E-19
 117.68 3.27E-19
 117.73 3.46E-19
 117.83 3.19E-19
 117.92 3.44E-19
 118.05 2.88E-19
 118.13 2.69E-19
 118.19 2.67E-19
 118.25 2.45E-19
 118.31 2.34E-19
 118.44 2.83E-19
 118.55 3.65E-19
 118.66 4.09E-19
 118.71 4.10E-19
 118.79 3.97E-19
 118.89 3.32E-19
 118.94 3.04E-19
 119.10 3.21E-19
 119.17 2.69E-19
 119.25 2.94E-19
 119.33 2.68E-19
 119.43 2.59E-19
 119.46 2.59E-19
 119.51 2.79E-19
 119.65 3.10E-19
 119.84 3.14E-19
 119.90 3.63E-19
 119.95 3.84E-19
 120.06 3.93E-19
 120.18 3.50E-19
 120.26 3.28E-19
 120.39 2.99E-19
 120.49 2.50E-19
 120.61 2.52E-19
 120.66 2.50E-19
 120.75 2.44E-19
 120.89 2.86E-19
 120.92 2.80E-19
 121.07 2.95E-19
 121.14 2.77E-19
 121.29 3.15E-19
 121.40 3.98E-19
 121.57 4.62E-19
 121.65 4.32E-19
 121.74 4.30E-19
 121.90 3.17E-19
 122.11 3.29E-19
 122.20 3.76E-19
 122.35 2.91E-19
 122.49 3.88E-19
 122.56 3.65E-19
 122.61 3.81E-19
 122.71 4.65E-19
 122.83 3.56E-19
 122.90 3.37E-19
 123.01 3.59E-19
 123.20 5.64E-19
 123.32 6.05E-19
 123.36 5.20E-19
 123.42 5.09E-19
 123.53 5.32E-19
 123.57 4.88E-19
 123.64 5.67E-19
 123.80 5.25E-19
 123.84 4.84E-19
 123.89 4.66E-19
 123.96 3.82E-19
 124.14 4.14E-19
 124.30 4.49E-19
 124.35 4.01E-19
 124.44 5.35E-19
 124.52 4.44E-19
 124.59 4.58E-19
 124.62 4.42E-19
 124.73 4.69E-19
 124.93 7.77E-19
 124.98 8.55E-19
 125.09 8.91E-19
 125.13 9.08E-19
 125.20 7.09E-19
 125.36 4.44E-19
 125.43 4.52E-19
 125.48 4.38E-19
 125.56 4.49E-19
 125.68 6.08E-19
 125.71 6.10E-19
 125.79 6.00E-19
 125.88 7.07E-19
 125.99 6.63E-19
 126.17 7.03E-19
 126.25 7.05E-19
 126.29 7.95E-19
 126.42 7.38E-19
 126.57 9.80E-19
 126.65 1.12E-18
 126.72 1.08E-18
 126.81 1.34E-18
 126.90 1.28E-18
 126.97 9.99E-19
 127.06 1.24E-18
 127.14 1.07E-18
 127.19 1.05E-18
 127.30 1.26E-18
 127.32 1.26E-18
 127.36 1.37E-18
 127.41 1.37E-18
 127.58 8.84E-19
 127.67 9.85E-19
 127.80 8.65E-19
 127.81 7.81E-19
 127.96 7.83E-19
 128.01 1.06E-18
 128.10 1.03E-18
 128.16 1.21E-18
 128.32 1.27E-18
 128.43 1.90E-18
 128.58 2.13E-18
 128.65 2.00E-18
 128.78 2.00E-18
 128.94 1.29E-18
 129.04 8.88E-19
 129.11 8.39E-19
 129.34 1.15E-18
 129.46 1.40E-18
 129.56 1.30E-18
 129.63 1.69E-18
 129.73 1.24E-18
 129.91 1.36E-18
 129.97 1.14E-18
 130.18 1.45E-18
 130.24 1.19E-18
 130.41 1.43E-18
 130.50 1.73E-18
 130.66 1.93E-18
 130.74 1.58E-18
 131.01 1.76E-18
 131.10 1.86E-18
 131.14 2.06E-18
 131.23 1.74E-18
 131.29 1.82E-18
 131.47 1.18E-18
 131.54 1.31E-18
 131.66 1.39E-18
 131.79 1.39E-18
 131.90 1.53E-18
 132.20 2.34E-18
 132.23 2.60E-18
 132.29 3.08E-18
 132.33 2.98E-18
 132.45 3.13E-18
 132.50 2.71E-18
 132.56 3.65E-18
 132.70 2.87E-18
 132.75 3.57E-18
 132.93 1.90E-18
 133.10 1.32E-18
 133.25 2.20E-18
 133.36 2.53E-18
 133.41 2.76E-18
 133.50 3.46E-18
 133.57 3.29E-18
 133.73 2.84E-18
 133.77 2.82E-18
 133.83 1.91E-18
 133.97 2.18E-18
 134.07 2.33E-18
 134.15 1.52E-18
 134.20 1.54E-18
 134.30 1.74E-18
 134.33 1.63E-18
 134.41 1.94E-18
 134.51 2.06E-18
 134.70 1.59E-18
 135.15 2.13E-18
 135.35 2.20E-18
 135.45 2.10E-18
 135.65 2.21E-18
 136.10 1.17E-18
 136.70 3.80E-18
 137.00 4.16E-18
 137.20 1.85E-18
 137.60 1.45E-18
 138.20 3.47E-18
 138.45 3.75E-18
 138.55 9.86E-19
 138.90 2.57E-19
 139.60 3.39E-18
 140.10 1.02E-18
 140.45 3.71E-18
 140.75 3.41E-18
 140.85 3.54E-18
 141.20 3.98E-19
 141.50 5.77E-19
 141.75 6.66E-19
 142.50 2.23E-18
 142.90 1.60E-18
 143.45 2.01E-18
 143.60 4.76E-19
 144.05 1.38E-19
 144.40 1.39E-18
 144.50 4.23E-18
 145.20 1.31E-18
 145.45 2.95E-18
 145.75 8.89E-19
 146.15 8.97E-19
 146.70 1.32E-18
 147.20 2.23E-19
 147.90 2.34E-18
 148.25 2.56E-18
 148.35 1.11E-18
 148.60 9.68E-19
 148.80 3.68E-19
 149.00 1.09E-18
 149.30 1.18E-18
 149.70 2.44E-18
 150.00 1.81E-18
 151.00 1.12E-19
 151.70 4.69E-19
 152.00 9.68E-20
 152.10 3.61E-19
 152.40 9.30E-20
 152.50 4.80E-19
 153.00 4.84E-19
 153.10 5.25E-19
 153.30 2.01E-19
 153.60 1.04E-19
 154.00 2.79E-19
 154.40 8.19E-20
 155.10 6.40E-19
 155.20 5.06E-19
 155.30 7.33E-19
 155.80 3.65E-19
 156.20 6.44E-19
 156.70 7.82E-20
 157.00 1.64E-19
 157.70 5.95E-20
 158.30 4.21E-19
 159.60 5.58E-20
 159.90 1.56E-19
 160.60 5.21E-20
 160.70 2.79E-19
 160.90 3.80E-19
 161.20 3.80E-19
